,text,character
37,"Well maybe eventually. Some fall day. Possibly in Central Park. Simple ceremony, we'll write our own vows. But--eh--no DJ, people will dance. I'm not going to worry about it! Damn it, why did Marshall have to get engaged? (Yasmine laughs) Yeah, nothing hotter than a guy planning out his own imaginary wedding, huh?",Ted
38,"Well, you're clearly drunk (pulls her wine glass away. Hold up glass to bartender) ONE MORE FOR THE LADY!",Ted
39,"Okay, look what I got (runs to the fridge. Takes out wine bottle)",Marshall
40,Aw-honey. Champagne! (hands it to Marshall),Lily
41,(after short silence) Yeah. (hands it back),Marshall
42,"(realizing) No, you are too old to be scared to open a bottle of champagne!",Lily
43,I'm not scared.,Marshall
44,Then open it!,Lily
45,Fine (takes bottle. Looks at it for a couple of seconds) Please open it (hands it to Lily),Marshall
46,"You are unbelievable, Marshall. No-(Scene splits in half and shows both Lily and Marshall on top arguing and Ted and Yasmine on the bottom mingling)",Lily
47,(To Lily) will you marry me?,Marshall
48,(To Yasmine) you wanna go out sometime?,Ted
49,"Of course, you idiot! (hugs him and they fall back)",Lily
50,"Sup, Carl?",Ted
51,I promised Ted we wouldn't do that.,Marshall
52,Did you know there's a pop tart under your fridge?,Lily
53,"No, but dibs. Where's that champagne? I wanna drink a toast with my fiancé.",Marshall
54,aww (claps. They kiss),Lily
55,"I don't know why I was so scared of this. Pretty easy right? (Pops cork, hit's Lily's eye)",Marshall
56,(YELLS),Lily
57,(covers mouth) OH!,Marshall
58,Why am I freaking out all of a sudden? This is crazy! I'm not ready to settle down.,Ted
59,(ignoring) how does Carl land a Lebanese girl?,Barney
60,It's always been &quot;don't even think about it till you're thirty&quot;,Ted
61,Exactly-the guy doesn't even own a suit!,Barney
62,"Plus Marshall's found the love of his life. Even if I was ready, which I'm not, but if I was it's like, &quot;Okay, I'm ready! Where is she?&quot; (Spots Robin)",Ted
63,"Hey Barney, see that girl?",Ted
64,"(to Robin) Hey, have you met Ted?",Barney
65,"Let me guess, (points) Ted?",Robin
66,"I'm sorry, Lily. I'm so sorry. Take us to the hospital.",Marshall
67,"Hit me? Please, this guy could barely even spank me in bed for fun. He's all like, (hits ice in bag using to cover eye) &quot;Oh, did that hurt?&quot; and I'm like, &quot;Come on, let me have it you pansy!&quot; (realizes) Wow, complete stranger.",Lily
68,So what do you do?,Ted
69,I'm a reporter for Metro News 1.,Robin
70,(nods) Oh.,Ted
71,"Well, kind of a reporter. I do those dumb little fluff pieces at the end of the news, you know. Like-um-monkey that can play the ukulele. I'm hoping to get some bigger stories soon.",Robin
72,"Bigger like, uh, gorilla with an up-right bass? Sorry, you're really pretty. (Robin laughs and waves to her friends) Oh, your friends don't seem too happy.",Ted
73,"Yeah, see the one in the middle just got dumped by her boyfriend so tonight every guy is... &quot;The enemy&quot;.",Robin
74,You know if you don't make your friend feel better you could throw a drink at my face. I don't mind.,Ted
75,She would love that! It does look fun in the movies.,Robin
76,"Hey, you wanna have dinner with me Saturday night?",Ted
77,"Oh, I can't. I'm going to Orlando for a week on Friday. Some guys attempting to make a big (cut) so my news is covering it.",Robin
78,That's going to take a week?,Ted
79,"Yeah, he's going to eat it too, it's another record.",Robin
80,"Uh, I know this is a long sh*t, but how about tomorrow night?",Ted
81,"(stops) Yeah, (agrees) What the hell (passes number to Ted. Throws drink on Ted's face) JERK! (Walks away. Whispers) that was fun.",Robin
82,(comes back laughing) De-wait for it-nied! Denied!,Barney
83,We're going out tomorrow night.,Ted
84,I thought we were playing laser tag tomorrow night?,Barney
85,"Yeah, I was never going to go play laser tag. (Wipes alcohol off his face)</p><h",Ted
86,Wow that is one bad-ass blue French horn.,Robin
87,Yeah.,Ted
88,Mhmm.,Robin
89,Sort of looks like a... Smurf penis.,Ted
90,Lilly?,Marshall
91,How long have you been sitting there!? Stupid eye patch.,Lily
92,"Mom, dad, I have found the future Mrs. Ted Mosby! Marshall, how have I always described my perfect woman?",Ted
93,Oh let's see (thinks) she likes dogs?,Marshall
94,I've got five dogs.,Robin
95,...she drinks scotch?,Marshall
96,I love a scotch that's old enough to order its own scotch.,Robin
97,Can quote obscure lines from &quot;Ghostbusters&quot;?,Marshall
98,"Ray, when someone asks you if you're a god you say, &quot;Yes!&quot;",Robin
99,And I'm saving the best for last.,Ted
100,Do you want these? (Holding up remaining olives from her plate) I hate olives.,Robin
101,She hates olives! Awesome!,Marshall
102,The olive theory.,Lily
103,"The olive theory is based on my friends, Marshall and Lily. He hates olives, she loves them. In a weird way that's what makes them such a great couple. A Perfect balance (eats olive).",Ted
104,"You know, I've had a jar of olives just sitting in my fridge forever.",Robin
105,(flirting) I can take them off your hands.,Ted
106,(flirting back) they're all yours.,Robin
107,"Oh, it is on! It is on (imitates robot) till the break of dawn.",Marshall
108,"wait, it's only the break of ten-thirty. What happened?",Lily
109,"I've gotta get one of those blue French horns for over my fireplace. It's gotta be blue, it's gotta be French.",Robin
110,No Green Clarinet?,Ted
111,No.,Robin
112,"Come on, no purple tuba?",Ted
113,"It's a smurf penis, we're no dice.",Robin
114,"Um, alright. I'll be right there. (To Ted) I'm sorry. I had a really great time tonight.",Robin
115,Yeah.,Ted
116,So? Did you kiss her?,Marshall
117,"No. The moment wasn't right. (They sigh) Look, this woman could be my future wife; I want our first kiss to be amazing.",Ted
118,"Aww, Ted that's so sweet. So you chickened out like the little bitch.",Lily
119,What? I did not chicken out! You know what? I don't need to take first kiss advice from some pirate who hasn't been single since the first week of college.,Ted
120,"Ted, anyone who's single would tell you the same thing. Even the dumbest single person alive, and if you don't believe me...call him.",Lily
121,"(Phone) Hey loser, how's not playing laser tag? Because playing laser tag is awesome! Oh, I k*ll you Connor; don't make me get your mom!",Barney
122,"Hey, listen. I need your opinion on something.",Ted
123,"Okay, meet me at the bar in fifteen minutes-AND SUIT UP!",Barney
124,So these guys think I chickened out. What do you think?,Ted
125,I can't believe you're still not wearing a SUIT!,Barney
126,She didn't even give me the signal.,Ted
127,"What is she goanna-is she goanna bat her eyes at you in Morse code (bats eyes)?? Ted (bats eyes) Kiss me-No, you just kiss her!",Barney
128,Not if you don't get the signal.,Ted
129,Ee-(Kisses Marshal) Did Marshall give me the signal?,Barney
130,"No! (To Lily) I didn't, I swear.",Marshall
131,"But see-at least, tonight, I get to sleep knowing, Marshall and Me... never going to happen. You should've kissed her.",Barney
132,"Urgh, I should've kissed her. What about when she gets back from Orlando?",Ted
133,A week? That's like-a year in hot girl time. She'll forget all about you. Mark my words: you will never see that one again.,Barney
134,There she is...,Ted
135,"Ooo. She's cute! (To Carl) Hey Carl, turn it up!",Lily
136,"(on TV)...persuaded him to reconsider at which point the man came down off the ledge, giving this bizarre story a happy ending. Reporting from",Robin
137,"Huh, guy didn't jump",Marshall
138,"(on TV) Metro One News, back to you bill.",Robin
139,I'm goanna go kiss her. Right now.,Ted
140,"Oh-Dude, it's midnight. As your future lawyer I'm goanna advise you: that's freakin' crazy!",Marshall
141,"I never do anything crazy! I'm always waiting for the moment! Planning the moment! Well she's leaving tomorrow this may be the only moment I'm goanna get! I gotta do what that guy couldn't, I gotta take the leap! Okay not a perfect metaphor, for me it's fall in love and get married-for him it's... death.",Ted
142,"Actually, that is a perfect metaphor. By the way, did I congratulate you two? (Raises glass to Lily and Marshall)",Barney
143,I'm doing this. (Starts to leave),Ted
144,Let's go (pulls Marshall up),Lily
145,Word up!,Marshall
146,We're coming with you.,Lily
147,...Barney?,Ted
148,"Alright, but under one condition.",Barney
149,"(happy) look at you, you beautiful bastard, you suited up! This is totally going in my blog!",Barney
150,(To Ranjit-Cabdriver) Stop the car. Uh-pull over right here. I gotta do something.,Ted
151,"Excuse me, pardon me. (grabs the Blue French Horn) Enjoy your coffee. (Runs away)",Ted
152,"go, go, GO! (looks to his friends. Shrugs) Everybody brings flowers.",Ted
153,(Exhales) Okay. Moment of truth. Wish me luck. (Exhales),Ted
154,Ted's goanna get it on with a TV reporter (nods. Laughs.) This just in. Okay (holds hand up for high-fives),Barney
155,"Kiss her, Ted. Kiss her good.",Lily
156,Kiss the crap out of that girl,Marshall
157,"Marshall, remember this night. When you're the best man at our wedding and you give a speech, you're goanna tell this story. (exits cab)",Ted
158,Why does he get to be the best man? (Shouts out) I'M YOUR BEST FRIEND!,Barney
159,I've got five dogs.,Robin
160,"Not good, not good, not good, not good.",Ted
161,No!,Lily
162,Go back in there!,Marshall
163,You're wearing a suit!,Barney
164,(from window) Ted?,Robin
165,"Hi! (Silence) I was just uh-(hold up Smurf Penis, aka French Horn)",Ted
166,Come on up.,Robin
167,He's in.,Marshall
168,"So, (looks to the cabdriver) Ranjit... you must've done it with a Lebanese girl.",Barney
169,Okay-that's my Barney Limit. (Starts to leave the cab) I'm goanna see if that Bodega has a bathroom. (Leaves),Lily
170,The women hot there?,Barney
171,(Whispers to Marshall) Simple no would have sufficed. (To Ranjit) She's lovely.,Barney
172,"So, Ted. What brings you back to Brooklyn at one in the morning in a-suit.",Robin
173,I was just hoping to get those olives... that you said I could have.,Ted
174,Would you like those olives with some Gin and Vermouth?,Robin
175,Are you trying to get me drunk?,Ted
176,For starters (turns music on. Leaves to the kitchen),Robin
177,(Looks up and mouths) Thank you.,Ted
178,"So, Marshall. This &quot;Olive Theory&quot; based on you and Lily?",Barney
179,Yeah...,Marshall
180,"You hate olives? Lily loves them, you can't stand them.",Barney
181,"Yeah, hate olives.",Marshall
182,"Two weeks ago, Spanish bar on 79th Street, dish of olives-you had some. What up?",Barney
183,(looks around for sign of Lily) You have to swear that this does not leave this cab.,Marshall
184,I swear.,Barney
185,"On our first date, I ordered a Greek salad; Lily asked if she could have my olives. I said, &quot;Sure... I hate olives.&quot;",Marshall
186,But you like olives!,Barney
187,"Well, I was eighteen, okay? I was a virgin. Been waiting for my whole life for a pretty girl to want my olives.",Marshall
188,"Marshall, I'm going to get you an early wedding present. Don't get married.",Barney
189,I think I like your &quot;Olive Theory&quot;.,Robin
190,I think I like your French Horn.,Ted
191,I think I like your nose.,Robin
192,I think I'm in love with you.,Ted
193,What?,Robin
194,"Come on man, you said your stomach's been hurting, right? You know what that is! Hunger. You're hungry for experience. Hungry for something new. Hungry for olives. But you're too scared to do anything about it.",Barney
195,"Yeah, I'm scared, okay? But when I think about spending the rest of my life with Lily... committing forever, no other women (Lily appears behind Marshall in the open window) doesn't scare me at all. I'm marrying that girl. (Lily pops her head in from the window. Marshall turns around) Lily. Lily, I like olives.",Marshall
196,We'll make it work. (They kiss.),Lily
197,"So Orlando, you goanna hit Disney World?",Ted
198,You love me?,Robin
199,"Oh, god, I can't believe I said that. Why did I say that? Who says that? I should just go. (Gets up)",Ted
200,Hold on. (Gets up) Wait a minute. (Hands him Olives) Promised you these.,Robin
201,Olives. Thanks. I love you. What's wrong with me?,Ted
202,"Why are we still sitting here? Let's go! We can still make last call. What do you say Lil? (Pirate Accent) Yo, ho ho and a bottle o' rum? (Silence) 'Cuz you're a pirate...",Barney
203,"Okay, eye patch gone-(takes eye patch off and throws it at Barney) And we can't just abandon Ted. If it doesn't go well up there he's gonna need some support.",Lily
204,It's been like twenty minutes. You think they're doin' it?,Marshall
205,You think they're doing it in front of the dogs?,Barney
206,Doggie style. (Laughs),Marshall
207,I had this girl in college; she had a golden retriever-,Barney
208,"Okay, we can go to the bar, just stop talking.",Lily
209,Hit it Ranjit. (They drive off),Barney
210,"So when you tell this story to your friends, could you avoid the word &quot;psycho&quot;? I prefer...eccentric.",Ted
211,"Good night, psycho (smiles). (Ted sarcastically clutches heart. Realizes friends left him)",Robin
212,Great (before Robin closes the door) Umm... how do I get to the F Train?,Ted
213,"Oh, um-two blocks (comes out) that way (points) and take a right.",Robin
214,"(upset/tired) Thanks. (Walks down the steps. Robin begins to walk in) You know what? (Robin stops. Ted turns around). I'm done being single. I'm not good at it. Look, obviously you can't tell a woman you just met you love her. But... it sucks that you can't. I'll tell you something though, if a woman-not you... just some hypothetical woman-were to bare with me through all this. I think I'd make a damn good husband. Because that's the stuff I'd be good at. Stuff like making her laugh and being a good father... and walking her five hypothetical dogs. Being a good kisser.",Ted
215,Everyone thinks they're a good kisser.,Robin
216,"Oh, I've got references.",Ted
217,"Good night, Ted. (Shake hands.)",Robin
218,And I'm a good hand shaker,Ted
219,that's a pretty great hand shake. (Looks him in the eyes),Robin
220,"And that was it, probably never see her again. (Silence) What?",Ted
221,That was the signal!,Marshall
222,That long lingering handshake-you should've kissed her!,Lily
223,There's no such thing as the signal. But yeah-that was the signal.,Barney
224,Carl!? (turns to friends) You guys weren't there.,Ted
225,I am so turned on right now.,Lily
226,"Guys, trust me. I've seen the signal. That was not the signal.",Ted
227,"Yeah Ted, we're not on you anymore.",Barney
228,(Toasting) To my fiancé!,Marshall
229,(smiles) to the future!,Lily
230,That was not the signal!,Ted
231,"I suggest we play a little game I like to call, &quot;Have you Met Ted?&quot;",Barney
232,"No, no, no-we're not playing &quot;Have you Met Ted!&quot;",Ted
233,(Taps Robin's shoulder) Hi! Have you met Ted? (Leaves),Barney
234,I think I'm in love with you.,Ted
235,What?,Robin
236,"So you're not goanna call her? You went from, &quot;I think I'm in love with you&quot; to &quot;I'm not gonna call her?&quot;",Marshall
237,"I wasn't in love with her, okay? I was briefly in love with the abstract idea of getting married! That had absolutely nothing to do with Robin. (Finds Lily and Robin chatting at a table.) Robin!",Ted
238,Hey!,Robin
239,Look who I ran into!,Lily
240,Since when do you guys know each other?,Ted
241,"Uh... since about (points to glass) here. Lily recognized me from the news and-(Lily and Marshall kiss) Hello, Sailor!",Robin
242,They just got engaged.,Ted
243,"Well, I should get back to the station. See you guys. (Marshall raises a hand while still kissing Lily) Nice seeing you, Ted.",Robin
244,"Yeah, you too. (Robin leaves, Barney walks closer) Damn it.",Ted
245,What?,Lily
246,I'm in love with her.,Ted
247,(hits him) No! As your sponsor I will not let you relapse. You blew it; it's over-move on.,Barney
248,I don't know! I just have this feeling. She's the future Mrs. Ted Mosby.,Ted
249,"Lily, you squeaked?",Ted
250,"She said something about me didn't she? Come on, spill it, Red.",Ted
251,Fine!,Lily
252,So what do we think of Ted?,Lily
253,(laughs) Ted's something else.,Robin
254,"Huh... I'm gonna spin that as good. Lots of guys are &quot;something&quot;, I'm &quot;something else&quot;.",Ted
255,Comes on a little strong.,Robin
256,But...that's part of my charm.,Ted
257,But that's part of his charm.,Lily
258,"Oh, totally. I mean, he's sweet, he's charming, he's just looking for something a little bit more serious than I am. I mean the most I can handle right now is something casual. This just stays between us, right?",Robin
259,Are you kidding? This flapper-for knocks.,Lily
260,(shy) Oops...,Lily
261,"She wants casual. Okay, I'll be casual. I'm gonna be a mushroom cloud of casual. You know why? Cause it's a game! I wanted to skip to the end and do the &quot;happily ever after&quot; thing but you don't get there unless you play the game.",Ted
262,So're you gonna ask her out?,Marshall
263,"Yeah-No! I can't ask her out, because if I ask her out I'm asking her out. So how do I ask her out, without asking her out? (thinks)",Ted
264,Did you guys get high?,Lily
265,I got it! I don't ask her out... I invite her to our party next Friday.,Ted
266,We're having a party next Friday?,Marshall
267,We are now-Casual,Ted
268,"Yeah, cuz nothing says &quot;Casual&quot; like inviting a hundred people over just to &quot;Mac&quot; on one girl. Oh, and Lily-that's my leg.",Barney
269,You waited five minutes to tell me that?,Lily
270,Alright-so call her up!,Marshall
271,No-calling's not casual! I just gotta bump into her somewhere. If only I knew her schedule I could arrange a &quot;chance&quot; encounter.,Ted
272,"that's great, Ted. You'll be the most &quot;Casual&quot; stalker ever.",Lily
273,"Baby, no. I have a twenty-five paged paper on unconstitutional law due on Monday, I barely started,",Marshall
274,"Hey, I'm just sitting here. Wearing my ring... my beautiful ring. Kind of makes wearing other stuff seem wrong. Like my shirt. Kind of don't wanna wear my shirt anymore. Or... my underwear. Oh-that's right-I'm not wearing any.",Lily
275,(Closes laptop screen) No underwear?,Marshall
276,Not slightly.,Lily
277,"Guys, boundaries! There she is!",Ted
278,"(on TV) Thanks Bill, I'm reporting from the Razzle Dazzle Supermarket on 75th in Columbus",Robin
279,75th in Columbus. (Gets up and grabs coat) Game on! (Leaves),Ted
280,"where four year old, Leroy Ellensburg, climbed inside a grab a prize machine (You see child stuck in toy machine) and gotten stuck.",Robin
281,"And on the pursuit of a stuffed purple giraffe. (Ted appears behind her, leaves nervously) From Metro News One, I'm Robin Scherbatsky. (News report ends)",Robin
282,(To cameraman) Thanks. (Notices Ted) Ted?,Robin
283,"(Turns around nonchalant) Robin, wow! What are the odds?",Ted
284,What are you doing here?,Robin
285,"Oh, you know, just-uh-Shopping for-uh-dip (holds dip) I love dip... I mean I don't love dip, I like dip. As a friend, you know. So-uh-hey, you-uh-reporting a news story or something? (puts dip back)",Ted
286,"Yeah, kid stuck in a crane machine, how sweet of you to call it news.",Robin
287,"Wow, kid in a crane machine (approached machine. To boy) You just had to have that toy didn't ya? Couldn't play the game like everyone else.",Ted
288,"Cute kid (wipes forehead) Um yeah it's f-it's so funny running into your we're having a party next Friday if-if you like swinging by! But, you know, whatever.",Ted
289,"Oh, I'm going back home next weekend. It's too bad it's not tonight.",Robin
290,"(Shocked) It is, it's tonight. This Friday, Did I say next Friday? Yeah-sorry-cuz I've been saying &quot;next Friday&quot; all week, but yeah it's tonight. The-uh-party's tonight. But, you know, whatever.</p><h",Ted
291,Hello?,Marshall
292,"(on Phone) hey, am I interrupting anything? (Holding party mixes)",Ted
293,"No, no I'm just writing my paper. Hitting the books.",Marshall
294,"(on Phone) Yeah, well you and Lily might wanna put some clothes on. We're throwing a party in two hours. Okay, bye (hangs up)",Ted
295,"So, Gatsby, what are you goanna do when Robin shows up?",Marshall
296,"Okay, I got it all planned out.",Ted
297,"She steps through the door, and where's Ted? Not eagerly waiting by the door. Nah I'm across the room at my drafting table showing some foxy young thing all my cool architecture stuff. So Robin strolls over and I casually give her one of these, &quot;Hey, what's up?&quot; She says, &quot;Hey, nice place&quot; etcetera, etcetera. And then I say, &quot;Well make yourself at home,&quot; and I casually return to my conversation. Then, an hour later, &quot;Oh, you're still here?&quot; I say like I don't really care, but it's a nice surprise. And then very casually, &quot;Wanna see the roof?&quot;",Ted
298,Get her up to the roof and the roof takes care of the rest.,Ted
299,What's so special about the roof?,Barney
300,"Oh, the moon, the stars, the shimmering skyline. You can't not fall in love on that roof.",Lily
301,We do it up there sometimes.,Marshall
302,"Solid plan, my little friend.",Barney
303,We're the same height.,Ted
304,But may I suggest one little modification.,Barney
305,"That foxy young thing you were chatting up, take her up to the roof and have sex with her! Crazy monkey-style.",Barney
306,That's not the plan.,Ted
307,"Should be the plan, I mean look at her. Ted, look at her. She's smokin'!",Barney
308,"Yeah, but she's not Robin.",Ted
309,"Exactly! Ted, let's wrap. Statistic, at every New York party there's always a girl who has no idea whose party she's at. She knows no one you know, and you will never see her again. Do you see-where I'm going-hu-with this?",Barney
310,"Barney, I don't wanna say-",Ted
311,"Aargh! (Pulls down imaginary scope) Scoping, beep, scoping, beep!",Barney
312,Man you're a dork.,Lily
313,"beep, beep, beep, beep. Target acquired! And now it's time we play a little game I like to call &quot;Have You Met Ted?&quot;",Barney
314,"No, come on not this.",Ted
315,(taps woman) Hi! Have you met Ted?,Barney
316,Hi.,Ted
317,Do you know Marshall? Lily?,Barney
318,"Hmm, do you know anyone at this party?",Barney
319,"Excuse me, (to group) Anyone know a Carlos?",Barney
320,No.,Ted
321,No.,Lily
322,On a silver platter! Bon appetite!,Barney
323,I don't think so.,Ted
324,"Your loss, her gain. (To Tatiana) Excuse me, can I show you the roof? It's magical up there!",Barney
325,Whoa-whoa-Hey hey. I got that roof reserved!,Ted
326,"Dude, Robin's not coming.",Barney
327,"Hey, she's goanna show up. (Silence) She'll show up.",Ted
328,At least it was a great party.,Lily
329,I ate like four whole cans of dip!,Marshall
330,You always know what to say old friend.,Ted
331,It's Robin.,Ted
332,Answer it!,Lily
333,"No, no, no. Not right away. I gotta seem casual. (Answers phone) Hello?",Ted
334,(on Phone) I'm so sorry I missed your party.,Robin
335,Who is this? Merideth?,Ted
336,(On Phone) Robin.,Robin
337,"Oh, Robin! Hey, yeah, guess you never showed up did you?",Ted
338,"(on Phone) no I got stuck at work, but they finally got that kid out of the crane machine.",Robin
339,Did he get to keep the purple giraffe?,Ted
340,"(on Phone) Yeah, they let him keep all the toys. He was in there a long time and little kids have smaller bladders.",Robin
341,(scoffs),Ted
342,(On Phone) I wish your party was tonight.,Robin
343,"It is the party's tonight. (Marshall's mad) Yeah-uh-it's a two day party. Because that's just how we roll. Uh-so if you wanna swing by its-uh-you know, Casual. See ya. (hangs up) So that was Robin.",Ted
344,"What are you doing to me, man. I got a paper to write.",Marshall
345,I know I'm sorry. It's terrible (grabs coat) I'll buy more dip (runs out),Ted
346,"TED! TED WAIT-GET FRENCH ONION. (Closes door) Can you believe this guy, I got a paper to write. (Lily smiles) Okay, fine-(they walk into the bedroom) but it's gotta be like super quick.",Marshall
347,Oh!,Lily
348,And no cuddling after.,Marshall
349,I'm the luckiest girl alive (runs into bedroom. Marshall strips.)</p><h,Lily
350,"Oh, you were so right about the roof. The roof. The roof is on fire, Ted! Girl from last night, took her back to my place then this morning took her outside, spun her around a couple of times sent her walking-she will never find her way back and there she is. How did she get here? Did you invite her?",Barney
351,I have no idea who that is.,Ted
352,"She said she works with Carlos, who's Carlos?",Barney
353,I don't know any Carlos.,Ted
354,"Grr. (Turns around) Hi, you. You're back.",Barney
355,&quot;sweetie&quot;? Really? (They walk into the kitchen Barney mouths) Sweetie?,Barney
356,"Whoa-Whoa rabbits! Come on, I got that roof reserved.",Ted
357,Alright.,Marshall
358,"So, it's over between me-and-works with Carlos girl.",Barney
359,"Oh, that was fast.",Ted
360,"Yeah, I was trying to think what's the quickest way to get rid of a girl you just met?",Barney
361,I think I'm in love with you.,Barney
362,"Thanks, bro (walks away)",Barney
363,(straight-faced) Glad I could help.,Ted
364,"What the-no, no, no, no-come on!",Ted
365,"Sorry, Ted. (Goes up)",Marshall
366,Great! What am I going to do when Robin shows up. (Silence) She'll show up.,Ted
367,"Alright, we threw two parties. Everybody had fun. Everybody wanged, everybody chunged. Now the kid has got to get to work, and the kid is not to be disturbed. Repeat after me, &quot;I will not have sex with Marshall&quot;.",Marshall
368,It's Robin. (sighs. Answers) Hello?,Ted
369,"(on the Phone) Hi, Ted.",Robin
370,"Amanda? Oh, Denise-Sorry you totally sounded like Amanda (Does weird hand thing with Marshall)",Ted
371,(On Phone) It's Robin.,Robin
372,"Oh, Robin-(laughs)-Hi.",Ted
373,(On Phone) I totally wanted to come; I got stuck at work again. I feel like I live there. I'm sorry I missed your party...again.,Robin
374,"Hey, ain't no thing but a chicken wing mamacita. (To Lily and Marshall) WHO AM I?",Ted
375,(On Phone) I guess there's no change your two-dayer turned into a three-dayer.,Robin
376,"(Silence) It did indeed, the party continues tonight. (Marshall grabs for him, Ted runs away) Yeah. Last night people were like, &quot;KEEP IT GOIN' BRO! PARTY TRIFECTA!&quot;",Ted
377,"(On Phone) Wow, okay-well I'll be there.",Robin
378,"Great, see you tonight. (hangs up. Looks to Marshall) So that was Robin.</p><h",Ted
379,"Oh, this is lame.",Barney
380,lame or &quot;Casual&quot;?,Ted
381,lame.,Barney
382,Or &quot;Casual&quot;?,Ted
383,Hey little old books. Ready for a little fifteen minute recess?,Lily
384,"Sorry, baby, I gotta work. I need all my bl*od (points to brain) up here. Has anybody seen an introduction to contract work institution statutes from 1865 to 1923? (Silence) Anybody seen a big-ass book?",Marshall
385,Of course.,Barney
386,Who? Who invited you? No one even know who you are!,Barney
387,Who is Carlos!?,Barney
388,"Okay, where the hell is my-OHH! (Book has been used as coaster, all wet) Okay, introduction to contract work institution statutes from 1865 to 1923...is not a coaster! Ted! I'm jeopardizing my law career so that you can throw not one, not two, but three parties for some girl that you just met who's probably not gonna show up. (Ted's shocked) I mean where is she, Ted, huh? Where's Robin? (Finds Robin) Hi! Hi Robin. (Throws book on the floor and grabs Lily for sex)",Marshall
389,so you threw all these parties for me?,Robin
390,"No! Oh you thought that-oh, no! I c-okay yes. You got me-I-(laughs)-one of the reasons I threw these parties was so that I could introduce you to uh-(Barney throws Ted a random guy) this guy. I figured, you know, since it didn't work out between us and now we can just laugh about it (nervously laughs)-Anyway Robin, this is.",Ted
391,"She's still talking to Carlos. I can still win this, it's not over.",Ted
392,"Okay, buddy, time for the &quot;tough-talk&quot;. Robin seems great. But let's look at the facts, you wanna get married and right now there's a million women in New York looking for exactly you, but Robin ain't one of them.",Lily
393,She's not just &quot;one of them&quot; she's the one.,Ted
394,"Yeah well, &quot;the one&quot; is heading up to &quot;the roof&quot;. (Robin leaves to the roof with Carlos)",Barney
395,What are you gonna do?,Marshall
396,"Nothing. It's a game, I gotta just-keep playing it.",Ted
397,Hey.,Robin
398,"Hey. Carlos, can you give us a minute?",Ted
399,"Robin, look I didn't invite you to this party to set you up with Carlos. Or the one before that. Or the one before that. (Robin smiles) I threw these parties because I wanted to see you.",Ted
400,"Well, here I am.",Robin
401,"There's something here, look, unless I'm crazy.",Ted
402,"(exhales) you're not crazy. I-I don't know, Ted, I mean we barely know each other and you're looking at me with that look and it's like-(struggles)",Robin
403,Like what?,Ted
